sleep_hours,work_hours,screen_time,physical_activity_hours,mental_fatigue_score,heart_rate,caffeine_intake,social_interaction_hours,work_pressure_score,stress_score,stress_level
7.304717079754432,8.5064090205907,5.667204609349096,1.1902124362013924,2.355022955698136,58.41799351400922,1.9889116065660697,2.005873467008164,3.763323303903384,4.737037875095127,Low
5.960015893759504,9.79043680445236,7.472686325221881,1.560236172935013,7.778294193118758,83.91206992546182,3.226580554534023,2.229006850801235,7.9886800299662974,7.824646298904713,High
7.750451195806457,8.54664251307375,7.431658719494177,0.25924405590247956,4.303517597492549,74.41967993584804,2.5131725335467223,2.000138379703927,7.799119567106056,5.617643428786736,Medium
7.940564716391214,12.477663332828847,4.098086346959765,0.11224643829974079,4.856351793173121,69.00090881537596,1.9069108803396173,1.5310634457467485,10.0,6.831260704656923,High
5.048964811346163,10.859574904940835,5.388034898987982,1.6822977823379854,5.567070209405261,72.49182488239609,2.0537082490791296,2.3849033968058984,6.037896678263239,7.873596172609087,High
5.697820493137682,7.384944470565969,1.271795935695712,0.7422194326850381,2.3943221738248877,85.36770787041004,0.9037621451382618,2.2100893918228777,3.945662868629615,5.710246656853842,Medium
7.127840403167285,7.363945132385862,5.1981860170438585,0.04748828299308028,5.814580359680358,82.31240517325074,2.1059742104186436,3.091860053725724,5.485143403821105,6.026258589121158,High
6.683757407656418,8.939393438970706,3.412021144336162,2.4653412923140627,4.1607690386619876,73.720765419945,1.3007529648851093,2.871939383004297,8.389057918471083,5.309510290957854,Medium
6.983198842495711,6.32396163914863,4.627235148078967,0.8682053270729077,5.5874055711510815,63.6089253593072,1.273359787983956,3.746888945270813,5.328616415850202,4.370458226778649,Low
6.14695607242642,10.332576613064973,1.6292562703666102,2.649811603865358,3.843898158925932,64.3145540308836,1.3718427538968347,2.8489693090396497,7.778511656326996,5.3988116894971885,Medium
7.879397974862829,8.723201043687167,5.8097445734381505,1.528470791109427,1.8537678798776858,82.53030159924661,3.039696768127473,2.7484530480223253,5.402814807960479,4.820570220468098,Low
